organism	name
Lactococcus	garvieae
Lactococcus	piscium
Planococcus	kocurii
Aerococcus	urinae
Aerococcus	viridans
Gemella	haemolysans
Atopobium	minutum
Atopobium	parvulum
Atopobium	rimae
Bacillus	amyloliquefaciens
Bacillus	anthracis
Bacillus	anthracis
Brevibacillus	brevis
Bacillus	cereus
Bacillus	circulans
Bacillus	coagulans
Bacillus	licheniformis
Bacillus	megaterium
Bacillus	megaterium
Bacillus	mycoides
Paenibacillus	polymyxa
Bacillus	psychrosaccharolyticus
Bacillus	pumilus
Bacillus	akibai
Bacillus	cellulosilyticus
Bacillus	mannanilyticus
Lysinibacillus	sphaericus
Bacillus	subtilis
Parageobacillus	thermoglucosidasius
[Bacillus	thuringiensis]
Bacillus	thuringiensis
Bacillus	alcalophilus
Amphibacillus	xylanus
Alicyclobacillus	acidoterrestris
Bacillus	atrophaeus
Bacillus	azotoformans
Bacillus	badius
Bacillus	fastidiosus
Paenibacillus	larvae
Brevibacillus	laterosporus
Bacillus	lentus
Bacillus	methanolicus
Paenibacillus	pabuli
Virgibacillus	pantothenticus
Sporosarcina	psychrophila
Bacillus	simplex
Bacillus	smithii
Virgibacillus	halodenitrificans
Hydrogenibacillus	schlegelii
Clostridium	acetobutylicum
Paraclostridium	bifermentans
Clostridium	botulinum
Clostridium	botulinum
Clostridium	botulinum
Clostridium	botulinum
Clostridium	butyricum
Clostridium	cellulovorans
Clostridium	cochlearium
Clostridium	cylindrosporum
Clostridioides	difficile
Clostridium	formicaceticum
[Clostridium]	josui
Clostridium	pasteurianum
Clostridium	pasteurianum
Clostridium	pasteurianum
Clostridium	perfringens
Gottschalkia	purinilyticum
Paeniclostridium	sordellii
[Clostridium]	stercorarium
Acetoanaerobium	sticklandii
[Clostridium]	symbiosum
Clostridium	tetani
Ruminiclostridium	thermocellum
Thermoanaerobacterium	thermosaccharolyticum
Clostridium	tyrobutyricum
Clostridium	beijerinckii
[Clostridium]	cellulolyticum
[Clostridium]	innocuum
Moorella	thermoacetica
[Clostridium]	aminophilum
Anaerocolumna	aminovalerica
Clostridium	cadaveris
Clostridium	fallax
Clostridium	kluyveri
[Clostridium]	leptum
Romboutsia	lituseburensis
Clostridioides	mangenotii
Clostridium	novyi
Erysipelatoclostridium	ramosum
[Clostridium]	sporosphaeroides
Clostridium	tetanomorphum
Gottschalkia	acidurici
Peptoclostridium	litorale
Clostridium	baratii
Desulfosporosinus	orientis
Desulfotomaculum	ruminis
Desulfotomaculum	nigrificans
Halobacillus	halophilus
Sporosarcina	ureae
Leifsonia	xyli
Leifsonia	xyli
Leifsonia	xyli
Lactobacillus	acidophilus
Lactobacillus	brevis
Lactobacillus	buchneri
Lactobacillus	delbrueckii
Lactobacillus	helveticus
Lactobacillus	hilgardii
Lactobacillus	plantarum
Lactobacillus	gasseri
Lactobacillus	paracasei
Lactobacillus	paracasei
Lactobacillus	reuteri
Lactobacillus	sakei
Lactobacillus	acetotolerans
Lactobacillus	agilis
Lactobacillus	alimentarius
Lactobacillus	amylophilus
Lactobacillus	amylovorus
Lactobacillus	animalis
Lactobacillus	aviarius
Lactobacillus	bifermentans
Lactobacillus	coryniformis
Lactobacillus	farciminis
Lactobacillus	fermentum
Lactobacillus	fructivorans
Weissella	halotolerans
Weissella	kandleri
Weissella	minor
Lactobacillus	ruminis
Lactobacillus	salivarius
Lactobacillus	sanfranciscensis
Lactobacillus	sharpeae
Weissella	viridescens
Kandleria	vitulina
Fructobacillus	fructosus
Lactobacillus	vaginalis
Listeria	monocytogenes
Listeria	grayi
Renibacterium	salmoninarum
Erysipelothrix	rhusiopathiae
Alloiococcus	otitis
Actinobaculum	suis
Actinomyces	israelii
Actinomyces	odontolyticus
Trueperella	pyogenes
Trueperella	pyogenes
Arthrobacter	globiformis
Bifidobacterium	adolescentis
Bifidobacterium	bifidum
Bifidobacterium	angulatum
Bifidobacterium	asteroides
Bifidobacterium	breve
Bifidobacterium	coryneforme
Bifidobacterium	cuniculi
Bifidobacterium	dentium
Bifidobacterium	magnum
Bifidobacterium	minimum
Bifidobacterium	pseudolongum
Corynebacterium	ammoniagenes
Brevibacterium	linens
Brevibacterium	linens
Corynebacterium	stationis
Cellulomonas	fimi
Cellulosimicrobium	cellulans
Cellulosimicrobium	cellulans
Cellulomonas	flavigena
Oerskovia	turbata
Corynebacterium	diphtheriae
Corynebacterium	glutamicum
Corynebacterium	pseudotuberculosis
Corynebacterium	callunae
Corynebacterium	renale
Corynebacterium	xerosis
Corynebacterium	variabile
Corynebacterium	variabile
Peptoclostridium	acidaminophilum
Eubacterium	oxidoreducens
Holdemanella	biformis
Eubacterium	limosum
Thermodesulfobacterium	commune
Propionibacterium	freudenreichii
Propionibacterium	acnes
Acidipropionibacterium	acidipropionici
Acidipropionibacterium	jensenii
Pseudopropionibacterium	propionicum
Acidipropionibacterium	thoenii
Mycobacterium	avium
Mycobacterium	avium
Mycobacterium	fortuitum
Mycobacterium	intracellulare
Mycobacterium	kansasii
Mycobacterium	leprae
Mycobacterium	phlei
Mycobacterium	smegmatis
Mycobacterium	tuberculosis
Mycobacterium	chelonae
Mycobacterium	flavescens
Mycobacterium	gordonae
Mycobacterium	malmoense
Mycobacterium	marinum
Mycobacterium	simiae
Mycobacterium	szulgai
Mycobacterium	terrae
Mycobacterium	xenopi
Mycobacterium	asiaticum
Mycobacterium	aurum
Mycobacterium	aurum
Mycobacterium	fallax
Mycobacterium	neoaurum
Mycobacterium	thermoresistibile
Mycobacterium	triviale
Mycobacterium	chubuense
Mycobacterium	diernhoferi
Mycobacterium	gilvum
Mycobacterium	obuense
Mycobacterium	vaccae
Amycolatopsis	methanolica
Nocardia	otitidiscaviarum
Nocardia	asteroides
Rhodococcus	fascians
Rhodococcus	fascians
Rhodococcus	erythropolis
Saccharopolyspora	erythraea
Nocardioides	jensenii
Nocardioides	luteus
Pseudonocardia	thermophila
Actinopolyspora	halophila
Saccharomonospora	viridis
Frankia	alni
Geodermatophilus	obscurus
Geodermatophilus	obscurus
Dermatophilus	congolensis
Actinoplanes	missouriensis
Actinoplanes	utahensis
Micromonospora	echinospora
Streptomyces	albidoflavus
Streptomyces	albus
Streptomyces	albus
Streptomyces	albus
Streptomyces	atratus
Kitasatospora	aureofaciens
Streptomyces	cacaoi
Streptomyces	clavuligerus
Streptomyces	coelicolor
Streptomyces	glaucescens
Streptomyces	griseus
Streptomyces	lincolnensis
Streptomyces	phaeochromogenes
Streptomyces	rimosus
Streptomyces	rochei
Streptomyces	scabiei
Streptomyces	thermovulgaris
Streptomyces	viridochromogenes
Streptomyces	albireticuli
Streptomyces	griseoruber
Streptomyces	purpureus
Streptomyces	virginiae
Streptomyces	olivochromogenes
Streptomyces	noursei
Actinomadura	atramentaria
Actinomadura	madurae
Microtetraspora	glauca
Microtetraspora	glauca
Streptosporangium	roseum
Streptosporangium	amethystogenes
Thermobispora	bispora
Nocardiopsis	dassonvillei
Streptoalloteichus	hindustanus
Thermomonospora	curvata
Thermobifida	fusca
Thermoactinomyces	vulgaris
Kibdelosporangium	aridum
Microbacterium	testaceum
Curtobacterium	flaccumfaciens
Tropheryma	whipplei
Aeromicrobium	erythreum
Pimelobacter	simplex
Rothia	dentocariosa
Mobiluncus	curtisii
Mobiluncus	mulieris
Gordonia	bronchialis
Gordonia	terrae
Sphaerobacter	thermophilus
Tsukamurella	paurometabola
Kitasatospora	setae
Pseudonocardia	autotrophica
Pseudonocardia	autotrophica
Pseudonocardia	autotrophica
Mycoplasma	arginini
Mycoplasma	capricolum
Mycoplasma	gallisepticum
Mycoplasma	genitalium
Mycoplasma	hominis
Mycoplasma	hyopneumoniae
Mycoplasma	hyorhinis
Mycoplasma	mycoides
Mycoplasma	pneumoniae
Mycoplasma	pulmonis
Mycoplasma	synoviae
Mycoplasma	agalactiae
Mycoplasma	arthritidis
Mycoplasma	bovigenitalium
Mycoplasma	californicum
Mycoplasma	fermentans
Mycoplasma	iowae
Mycoplasma	mobile
Mycoplasma	orale
Mycoplasma	pirum
Mycoplasma	putrefaciens
Mycoplasma	salivarium
Mycoplasma	collis
Mycoplasma	flocculare
Spiroplasma	citri
Spiroplasma	apis
Spiroplasma	poulsonii
Spiroplasma	mirum
Spiroplasma	taiwanense
Acholeplasma	laidlawii
Acholeplasma	modicum
Mesoplasma	florum
Desulfobacter	curvatus
Desulfobacter	postgatei
Desulfobacterium	autotrophicum
Desulfobacterium	vacuolatum
Thermoanaerobacter	kivui
Halanaerobium	praevalens
Thermotoga	maritima
Thermotoga	neapolitana
Solemya	velum
Haliscomenobacter	hydrossis
Flexistipes	sinusarabici
Desulfomonile	tiedjei
Arhodomonas	aquaeolei
Xylella	fastidiosa
Acetonema	longum
Sporomusa	ovata
Acetitomaculum	ruminis
Thermosipho	africanus
Fervidobacterium	nodosum
Teredinibacter	turnerae
Roseobacter	denitrificans
Gardnerella	vaginalis
Gardnerella	vaginalis
Cardiobacterium	hominis
Hirschia	baltica
Symbiobacterium	thermophilum
Verrucomicrobium	spinosum
Vagococcus	fluvialis
Peptococcus	niger
Marinobacter	hydrocarbonoclasticus
Halomonas	elongata
Carnobacterium	divergens
Carnobacterium	gallinarum
Carnobacterium	mobile
Carnobacterium	maltaromaticum
Carnobacterium	funditum
Synergistes	jonesii
Brochothrix	thermosphacta
Brochothrix	campestris
Anaerobiospirillum	succiniciproducens
Burkholderia	mallei
Novosphingobium	capsulatum
Sphingomonas	paucimobilis
Sphingobium	yanoikuyae
Bifidobacterium	animalis
Corynebacterium	flavescens
Lysinibacillus	fusiformis
Sulfobacillus	thermosulfidooxidans
Staphylococcus	lugdunensis
Streptococcus	mitis
Lactobacillus	curvatus
Saccharopolyspora	rectivirgula
Mycobacterium	confluentis
Acidothermus	cellulolyticus
Lachnospira	multipara
Rhodoferax	fermentans
Rubrivivax	gelatinosus
Nitrospirillum	amazonense
Campylobacter	upsaliensis
Legionella	anisa
Legionella	birminghamensis
Legionella	cherrii
Legionella	wadsworthii
Neisseria	weaveri
Robbsia	andropogonis
Paraburkholderia	caryophylli
Burkholderia	gladioli
Rhizobium	rubi
Pseudoalteromonas	espejiana
Alteromonas	macleodii
Francisella	philomiragia
Tannerella	forsythia
Porphyromonas	levii
Porphyromonas	macacae
Bacteroides	ovatus
Alistipes	putredinis
Odoribacter	splanchnicus
Fibrobacter	intestinalis
Porphyromonas	asaccharolytica
Porphyromonas	endodontalis
Prevotella	bivia
Prevotella	buccae
Prevotella	buccalis
Prevotella	corporis
Prevotella	denticola
Prevotella	disiens
Prevotella	intermedia
Prevotella	nigrescens
Prevotella	oralis
Prevotella	oris
Prevotella	oulorum
Prevotella	veroralis
Rikenella	microfusus
Cronobacter	sakazakii
Vibrio	metschnikovii
Vibrio	nigripulchritudo
Magnetovibrio	blakemorei
Leptospira	noguchii
Leptospira	santarosai
Leptospira	weilii
Acetohalobium	arabaticum
Capnocytophaga	canimorsus
Capnocytophaga	cynodegmi
Arcobacter	butzleri
Arcobacter	cryaerophilus
Arcobacter	nitrofigilis
Arcobacter	skirrowii
Sphingomonas	adhaesiva
Brachymonas	denitrificans
Desulfobacula	toluolica
Mycoplasma	penetrans
Colwellia	psychrerythraea
Colwellia	psychrerythraea
Carnobacterium	alterfunditum
Geobacter	metallireducens
Geotoga	petraea
Ornithobacterium	rhinotracheale
Halomonas	halodenitrificans
Cobetia	marina
Thermodesulfovibrio	yellowstonii
Arcanobacterium	haemolyticum
Mycobacterium	intermedium
Anaerotignum	propionicum
Clavibacter	michiganensis
Komagataeibacter	xylinus
Burkholderia	pseudomallei
Leptospira	alstonii
Hydrogenovibrio	marinus
Campylobacter	helveticus
Salmonella	enterica
Salmonella	enterica
Mycoplasma	bovis
Streptomyces	cattleya
Mycobacterium	haemophilum
Mycobacterium	shimoidei
Mycobacterium	hiberniae
Turicella	otitidis
[Eubacterium]	cellulosolvens
Thermoanaerobacter	cellulolyticus
Thermoanaerobacterium	xylanolyticum
Domibacillus	aminovorans
Clostridium	argentinense
[Clostridium]	cellulosi
[Clostridium]	paradoxum
[Clostridium]	scindens
[Clostridium]	spiroforme
[Clostridium]	thermoalcaliphilum
Clostridium	collagenovorans
Asaccharospora	irregularis
Clostridium	lentocellum
Tyzzerella	nexilis
[Clostridium]	papyrosolvens
Clostridium	paraputrificum
[Clostridium]	polysaccharolyticum
Hathewaya	proteolytica
Clostridium	puniceum
[Clostridium]	termitidis
Clostridium	thermobutyricum
Staphylococcus	arlettae
Staphylococcus	auricularis
Staphylococcus	cohnii
Staphylococcus	saprophyticus
Staphylococcus	saprophyticus
Staphylococcus	capitis
Dolosigranulum	pigrum
Microlunatus	phosphovorus
Helicobacter	canis
Nitrobacter	vulgaris
Legionella	brunensis
Legionella	oakridgensis
Psychrobacter	phenylpyruvicus
Moraxella	ovis
Bradyrhizobium	elkanii
Bradyrhizobium	elkanii
Rhizobium	etli
Brucella	melitensis
Veillonella	parvula
Yersinia	ruckeri
Vibrio	navarrensis
Vibrio	tubiashii
Desulfomicrobium	escambiense
Leptospira	kirschneri
Leptospira	meyeri
Turneriella	parva
Leptospira	wolbachii
Borrelia	afzelii
Borreliella	garinii
Porphyromonas	circumdentaria
Chitinophaga	arvensicola
Cytophaga	aurantiaca
Flavobacterium	saccharophilum
Flavobacterium	succinicans
Thermoleophilum	album
Pelobacter	acetylenicus
Pelobacter	propionicus
Lawsonia	intracellularis
Rhodothermus	marinus
Acholeplasma	axanthum
Mycoplasma	canadense
Mycoplasma	canis
Mycoplasma	gallinarum
Mycoplasma	hyosynoviae
Mycoplasma	imitans
Mycoplasma	meleagridis
Mycoplasma	ovipneumoniae
Halanaerobium	salsuginis
Halomonas	subglaciescola
Taylorella	equigenitalis
Caldicellulosiruptor	bescii
Halothermothrix	orenii
Actinomadura	rifamycini
[Eubacterium]	dolichum
Eggerthia	catenaformis
Methylobacterium	radiotolerans
Comamonas	terrigena
Helicobacter	hepaticus
Acidovorax	konjaci
Synechococcus	elongatus
Calothrix	sp.
Desulfurella	acetivorans
Actinomyces	neuii
Cutibacterium	avidum
Cutibacterium	granulosum
Propionimicrobium	lymphophilum
Sporolactobacillus	laevolacticus
Peptoniphilus	indolicus
Peptoniphilus	lacrimalis
Anaerococcus	lactolyticus
Parvimonas	micra
Anaerococcus	prevotii
Anaerococcus	prevotii
Blautia	producta
Anaerococcus	tetradius
Anaerococcus	vaginalis
Ruminococcus	gnavus
Ruminococcus	torques
Coprococcus	eutactus
Bartonella	doshiae
Bartonella	grahamii
Bartonella	taylorii
Bartonella	vinsonii
Sphingopyxis	macrogoltabida
Sphingopyxis	terrae
Acidithiobacillus	caldus
Gloeobacter	violaceus
Zymobacter	palmae
Acidobacterium	capsulatum
Coriobacterium	glomerans
Catenuloplanes	japonicus
Agromyces	cerinus
Rathayibacter	tritici
Brevibacterium	casei
Mycobacterium	interjectum
Streptomyces	avermitilis
Bifidobacterium	thermophilum
Bifidobacterium	thermophilum
Actinopolyspora	mortivallis
Amycolatopsis	mediterranei
Microbacterium	barkeri
Mycoplasma	agassizii
Mycoplasma	felis
Mycoplasma	testudinis
Bacillus	cohnii
Lysinibacillus	macroides
Aeribacillus	pallidus
Geobacillus	thermodenitrificans
Geobacillus	thermoleovorans
Brevibacillus	thermoruber
Kyrpidia	tusciae
Acetobacterium	woodii
Clostridium	magnum
Lactobacillus	collinoides
